State,Year,Corrections -  General Fund,Corrections -  Federal Funds,Corrections -  Other State Funds,Corrections -  Bond Funds,Corrections -  Total Funds,Total All Spending - General Fund,Total All Spending - Federal Funds,Total All Spending - Other State Funds,Total All Spending - Bond Funds,Total All Spending - Total Funds,General Fund - % Corrections,Federal Funds - % Corrections,Other State Funds - % Corrections,Bond Funds - % Corrections,Total Funds - % Corrections
Montana,2014,$182.0M,$1.0M,$12.0M,$0.0M,$195.0M,"$2,041.0M","$2,149.0M","$1,998.0M",$0.0M,"$6,188.0M",8.9%,0.0%,0.6%,,3.2%
Montana,2015,$191.0M,$1.0M,$16.0M,$0.0M,$208.0M,"$2,138.0M","$2,189.0M","$2,056.0M",$0.0M,"$6,383.0M",8.9%,0.0%,0.8%,,3.3%
Montana,2016,$198.7M,$0.6M,$14.0M,$0.0M,$213.3M,"$2,237.1M","$2,370.3M","$1,777.0M",$0.0M,"$6,384.4M",8.9%,0.0%,0.8%,,3.3%
Montana,2017,$200.0M,$1.0M,$13.0M,$0.0M,$214.0M,"$2,333.0M","$2,810.0M","$1,814.0M",$0.0M,"$6,957.0M",8.6%,0.0%,0.7%,,3.1%
Montana,2018,$199.0M,$10.0M,$16.0M,$0.0M,$225.0M,"$2,242.0M","$2,863.0M","$1,847.0M",$0.0M,"$6,952.0M",8.9%,0.3%,0.9%,,3.2%
Montana,2019,$199.7M,$15.3M,$15.6M,$0.0M,$230.5M,"$2,304.0M","$2,983.5M","$1,886.2M",$0.0M,"$7,173.6M",8.7%,0.5%,0.8%,,3.2%
Nebraska,1991,$52.1M,$0.7M,$4.4M,$0.0M,$57.2M,"$1,394.3M",$685.9M,"$1,038.4M",$14.8M,"$3,133.4M",3.7%,0.1%,0.4%,0.0%,1.8%
Nebraska,1992,$52.7M,$1.0M,$6.2M,$0.0M,$59.9M,"$1,545.2M",$806.6M,"$1,096.7M",$16.3M,"$3,464.8M",3.4%,0.1%,0.6%,0.0%,1.7%
Nebraska,1993,$63.6M,$0.8M,$5.7M,$0.0M,$70.1M,"$1,614.1M",$863.4M,"$1,183.7M",$14.9M,"$3,676.1M",3.9%,0.1%,0.5%,0.0%,1.9%
Nebraska,1994,$59.4M,$0.9M,$4.9M,$0.0M,$65.2M,"$1,611.7M",$973.6M,"$1,258.3M",$9.8M,"$3,853.4M",3.7%,0.1%,0.4%,0.0%,1.7%
Nebraska,1995,$61.5M,$4.8M,$4.9M,$0.0M,$71.2M,"$1,682.7M",$989.4M,"$1,381.2M",$5.4M,"$4,058.7M",3.7%,0.5%,0.4%,0.0%,1.8%
Nebraska,1996,$69.3M,$8.3M,$7.4M,$0.0M,$85.0M,"$1,759.6M","$1,055.2M","$1,427.4M",$4.6M,"$4,246.8M",3.9%,0.8%,0.5%,0.0%,2.0%
Nebraska,1997,$78.8M,$7.5M,$19.0M,$0.0M,$105.3M,"$1,872.0M","$1,111.7M","$1,557.8M",$4.0M,"$4,545.5M",4.2%,0.7%,1.2%,0.0%,2.3%
Nebraska,1998,$85.5M,$9.0M,$26.1M,$0.0M,$120.6M,"$1,932.2M","$1,224.0M","$1,628.0M",$0.1M,"$4,784.3M",4.4%,0.7%,1.6%,0.0%,2.5%
Nebraska,1999,$102.0M,$9.8M,$20.9M,$0.0M,$132.7M,"$2,235.2M","$1,354.7M","$1,768.4M",$0.0M,"$5,358.3M",4.6%,0.7%,1.2%,,2.5%
Nebraska,2000,$139.0M,$7.0M,$19.0M,$0.0M,$165.0M,"$2,344.0M","$1,503.0M","$1,953.0M",$0.0M,"$5,800.0M",5.9%,0.5%,1.0%,,2.8%
Nebraska,2001,$137.0M,$4.0M,$24.0M,$0.0M,$165.0M,"$2,479.0M","$1,586.0M","$1,993.0M",$0.0M,"$6,058.0M",5.5%,0.3%,1.2%,,2.7%
Nebraska,2002,$136.0M,$3.0M,$25.0M,$0.0M,$164.0M,"$2,599.0M","$1,947.0M","$2,037.0M",$0.0M,"$6,583.0M",5.2%,0.2%,1.2%,,2.5%
Nebraska,2003,$140.0M,$6.0M,$22.0M,$0.0M,$168.0M,"$2,618.8M","$2,053.4M","$2,137.0M",$0.0M,"$6,809.2M",5.3%,0.3%,1.0%,,2.5%
Nebraska,2004,$140.0M,$10.0M,$26.0M,$0.0M,$176.0M,"$2,576.0M","$2,252.0M","$2,280.0M",$0.0M,"$7,108.0M",5.4%,0.4%,1.1%,,2.5%
Nebraska,2005,$148.7M,$8.2M,$25.9M,$0.0M,$182.8M,"$2,737.1M","$2,350.8M","$2,429.4M",$0.0M,"$7,517.3M",5.4%,0.3%,1.1%,,2.4%
Nebraska,2006,$155.2M,$2.9M,$20.3M,$0.0M,$178.4M,"$2,915.4M","$2,302.8M","$2,754.9M",$0.0M,"$7,973.1M",5.3%,0.1%,0.7%,,2.2%
Nebraska,2007,$169.0M,$3.0M,$22.0M,$0.0M,$194.0M,"$3,126.0M","$2,366.0M","$2,670.0M",$0.0M,"$8,162.0M",5.4%,0.1%,0.8%,,2.4%
Nebraska,2008,$197.0M,$2.0M,$23.0M,$0.0M,$222.0M,"$3,247.0M","$2,411.0M","$3,053.0M",$0.0M,"$8,711.0M",6.1%,0.1%,0.8%,,2.5%
Nebraska,2009,$189.0M,$2.0M,$26.0M,$0.0M,$217.0M,"$3,329.0M","$2,566.0M","$3,258.0M",$0.0M,"$9,153.0M",5.7%,0.1%,0.8%,,2.4%
Nebraska,2010,$159.0M,$35.0M,$26.0M,$0.0M,$220.0M,"$3,313.0M","$2,973.0M","$3,320.0M",$0.0M,"$9,606.0M",4.8%,1.2%,0.8%,,2.3%
Nebraska,2011,$172.0M,$21.0M,$31.0M,$0.0M,$224.0M,"$3,324.0M","$3,222.0M","$3,261.0M",$0.0M,"$9,807.0M",5.2%,0.7%,1.0%,,2.3%
Nebraska,2012,$196.7M,$2.0M,$25.0M,$0.0M,$223.7M,"$3,445.3M","$2,988.3M","$3,443.1M",$0.0M,"$9,876.7M",5.7%,0.1%,0.7%,,2.3%
Nebraska,2013,$198.1M,$2.3M,$22.4M,$0.0M,$222.8M,"$3,589.4M","$3,014.0M","$3,559.4M",$0.0M,"$10,162.8M",5.5%,0.1%,0.6%,,2.2%
Nebraska,2014,$233.0M,$2.0M,$23.5M,$0.0M,$258.5M,"$3,791.5M","$2,911.0M","$3,838.4M",$0.0M,"$10,540.9M",6.1%,0.1%,0.6%,,2.5%
Nebraska,2015,$300.6M,$1.1M,$25.7M,$0.0M,$327.4M,"$4,030.1M","$2,922.7M","$4,027.3M",$0.0M,"$10,980.1M",7.5%,0.0%,0.6%,,3.0%
Nebraska,2016,$312.0M,$2.0M,$27.0M,$0.0M,$341.0M,"$4,196.0M","$2,989.0M","$4,425.0M",$0.0M,"$11,610.0M",7.4%,0.1%,0.6%,,2.9%
Nebraska,2017,$319.0M,$1.0M,$28.0M,$0.0M,$348.0M,"$4,329.0M","$3,030.0M","$4,508.0M",$0.0M,"$11,867.0M",7.4%,0.0%,0.6%,,2.9%
Nebraska,2018,$318.0M,$1.0M,$33.0M,$0.0M,$352.0M,"$4,350.0M","$3,101.0M","$4,690.0M",$0.0M,"$12,141.0M",7.3%,0.0%,0.7%,,2.9%
Nebraska,2019,$327.0M,$1.0M,$56.0M,$0.0M,$384.0M,"$4,367.0M","$2,791.0M","$4,951.0M",$0.0M,"$12,109.0M",7.5%,0.0%,1.1%,,3.2%
Nevada,1991,,,,,,,,,,,,,,,
Nevada,1992,,,,,,,,,,,,,,,
Nevada,1993,$111.8M,$7.6M,$49.0M,$44.0M,$212.4M,"$1,035.3M",$538.4M,$905.0M,$78.2M,"$2,556.9M",10.8%,1.4%,5.4%,56.3%,8.3%
Nevada,1994,$111.6M,$6.9M,$83.0M,$10.0M,$211.5M,"$1,023.3M",$612.7M,"$1,944.5M",$77.8M,"$3,658.3M",10.9%,1.1%,4.3%,12.9%,5.8%
Nevada,1995,$114.0M,$6.9M,$88.0M,$7.4M,$216.3M,"$1,103.4M",$678.8M,"$1,903.5M",$61.2M,"$3,746.9M",10.3%,1.0%,4.6%,12.1%,5.8%
Nevada,1996,,,,,,,,,,,,,,,
Nevada,1997,,,,,,,,,,,,,,,
Nevada,1998,$155.9M,$5.0M,$22.0M,$16.4M,$199.3M,"$1,487.6M",$789.3M,"$3,706.9M",$53.1M,"$6,036.9M",10.5%,0.6%,0.6%,30.9%,3.3%
Nevada,1999,$160.9M,$16.3M,$32.8M,$52.4M,$262.4M,"$1,582.5M",$959.4M,"$4,404.5M",$227.8M,"$7,174.2M",10.2%,1.7%,0.7%,23.0%,3.7%
Nevada,2000,$142.3M,$0.3M,$14.6M,$0.0M,$157.2M,"$1,574.0M","$1,052.3M","$1,923.1M",$43.0M,"$4,592.4M",9.0%,0.0%,0.8%,0.0%,3.4%
Nevada,2001,$160.0M,$1.0M,$16.0M,$0.0M,$177.0M,"$1,691.0M","$1,143.0M","$1,876.0M",$70.0M,"$4,780.0M",9.5%,0.1%,0.9%,0.0%,3.7%
Nevada,2002,$188.0M,$4.0M,$25.0M,$1.0M,$218.0M,"$1,822.0M","$1,727.0M","$2,217.0M",$102.0M,"$5,868.0M",10.3%,0.2%,1.1%,1.0%,3.7%
Nevada,2003,$176.0M,$2.0M,$21.0M,$5.0M,$204.0M,"$1,952.0M","$1,879.5M","$2,302.0M",$100.0M,"$6,233.5M",9.0%,0.1%,0.9%,5.0%,3.3%
Nevada,2004,$172.5M,$1.9M,$34.2M,$61.2M,$269.8M,"$2,090.6M","$1,566.3M","$2,497.4M",$322.6M,"$6,477.0M",8.3%,0.1%,1.4%,19.0%,4.2%
Nevada,2005,$185.5M,$2.4M,$36.9M,$2.0M,$226.8M,"$2,323.8M","$1,677.9M","$2,637.5M",$253.0M,"$6,892.2M",8.0%,0.1%,1.4%,0.8%,3.3%
Nevada,2006,$197.9M,$3.2M,$49.2M,$6.7M,$256.9M,"$2,890.7M","$1,745.2M","$2,707.5M",$229.7M,"$7,573.1M",6.8%,0.2%,1.8%,2.9%,3.4%
Nevada,2007,$224.6M,$3.2M,$25.3M,$14.1M,$267.2M,"$2,902.8M","$1,860.6M","$1,963.3M",$393.8M,"$7,120.5M",7.7%,0.2%,1.3%,3.6%,3.8%
Nevada,2008,$257.9M,$3.0M,$25.6M,$98.1M,$384.7M,"$4,031.4M","$1,779.7M","$3,027.6M",$400.7M,"$9,239.4M",6.4%,0.2%,0.8%,24.5%,4.2%
Nevada,2009,$283.2M,$4.0M,$38.0M,$104.0M,$429.2M,"$3,777.0M","$2,525.0M","$2,934.9M",$255.1M,"$9,492.0M",7.5%,0.2%,1.3%,40.8%,4.5%
Nevada,2010,$182.6M,$76.5M,$31.6M,$34.0M,$324.7M,"$3,018.0M","$2,792.0M","$2,365.0M",$109.0M,"$8,284.0M",6.1%,2.7%,1.3%,31.2%,3.9%
Nevada,2011,$254.2M,$2.1M,$30.8M,$10.0M,$297.2M,"$3,175.0M","$2,642.0M","$2,631.0M",$78.0M,"$8,526.0M",8.0%,0.1%,1.2%,12.8%,3.5%
Nevada,2012,$239.0M,$3.0M,$29.0M,$4.0M,$275.0M,"$3,062.0M","$2,554.0M","$1,977.0M",$29.0M,"$7,622.0M",7.8%,0.1%,1.5%,13.8%,3.6%
Nevada,2013,$238.0M,$3.0M,$31.0M,$12.0M,$284.0M,"$3,185.0M","$2,796.0M","$2,629.0M",$41.0M,"$8,651.0M",7.5%,0.1%,1.2%,29.3%,3.3%
Nevada,2014,$251.0M,$2.0M,$29.0M,$4.0M,$286.0M,"$3,125.0M","$2,859.0M","$3,406.0M",$26.0M,"$9,416.0M",8.0%,0.1%,0.9%,15.4%,3.0%
Nevada,2015,$244.0M,$1.4M,$29.0M,$16.0M,$290.4M,"$3,400.0M","$3,795.4M","$4,413.0M",$78.2M,"$11,686.6M",7.2%,0.0%,0.7%,20.5%,2.5%
Nevada,2016,$253.0M,$1.4M,$30.0M,$10.2M,$294.6M,"$3,602.0M","$4,157.7M","$4,558.0M",$107.5M,"$12,425.2M",7.0%,0.0%,0.7%,9.5%,2.4%
Nevada,2017,$266.0M,$2.0M,$36.0M,$13.0M,$317.0M,"$3,990.0M","$4,393.0M","$5,308.0M",$223.0M,"$13,914.0M",6.7%,0.0%,0.7%,5.8%,2.3%
Nevada,2018,$290.0M,$2.0M,$43.0M,$20.2M,$355.2M,"$4,018.0M","$4,624.0M","$5,339.0M",$281.7M,"$14,262.7M",7.2%,0.0%,0.8%,7.2%,2.5%
Nevada,2019,$304.0M,$3.0M,$21.0M,$24.2M,$352.2M,"$4,404.0M","$4,888.0M","$5,285.0M",$180.7M,"$14,757.7M",6.9%,0.1%,0.4%,13.4%,2.4%
New Hampshire,1991,$30.3M,$0.0M,$2.6M,$3.6M,$36.5M,$693.0M,$459.8M,$406.1M,$41.9M,"$1,600.8M",4.4%,0.0%,0.6%,8.6%,2.3%
New Hampshire,1992,$34.3M,$0.3M,$2.5M,$0.5M,$37.6M,$719.7M,$654.1M,$565.9M,$66.7M,"$2,006.4M",4.8%,0.0%,0.4%,0.7%,1.9%
New Hampshire,1993,$36.5M,$1.0M,$2.4M,$1.2M,$41.1M,$752.0M,$739.7M,$612.4M,$74.5M,"$2,178.6M",4.9%,0.1%,0.4%,1.6%,1.9%
New Hampshire,1994,$38.6M,$1.9M,$3.1M,$0.9M,$44.5M,$816.6M,$857.7M,$710.8M,$28.6M,"$2,413.7M",4.7%,0.2%,0.4%,3.1%,1.8%
New Hampshire,1995,$43.4M,$2.0M,$1.8M,$2.3M,$49.5M,$857.8M,$788.2M,$614.9M,$43.7M,"$2,304.6M",5.1%,0.3%,0.3%,5.3%,2.1%
New Hampshire,1996,$44.9M,$2.2M,$1.7M,$0.2M,$49.0M,$844.1M,$818.7M,$539.8M,$43.8M,"$2,246.4M",5.3%,0.3%,0.3%,0.5%,2.2%
New Hampshire,1997,$47.0M,$1.3M,$1.9M,$0.8M,$51.0M,$853.2M,$805.9M,$603.7M,$51.6M,"$2,314.4M",5.5%,0.2%,0.3%,1.6%,2.2%
New Hampshire,1998,$48.1M,$1.3M,$1.9M,$0.4M,$51.7M,$916.4M,$833.0M,$599.0M,$59.2M,"$2,407.6M",5.2%,0.2%,0.3%,0.7%,2.1%
New Hampshire,1999,$49.2M,$1.2M,$3.7M,$16.3M,$70.4M,$940.8M,$923.2M,$624.8M,$55.3M,"$2,544.1M",5.2%,0.1%,0.6%,29.5%,2.8%
New Hampshire,2000,$57.0M,$0.8M,$4.5M,$15.3M,$77.6M,"$1,046.6M",$974.2M,"$1,323.0M",$51.5M,"$3,395.3M",5.4%,0.1%,0.3%,29.7%,2.3%
New Hampshire,2001,$67.0M,$1.0M,$5.0M,$3.0M,$76.0M,"$1,070.0M","$1,000.0M","$1,318.0M",$38.0M,"$3,426.0M",6.3%,0.1%,0.4%,7.9%,2.2%
New Hampshire,2002,$72.0M,$0.0M,$4.0M,$0.0M,$76.0M,"$1,174.0M","$1,104.0M","$1,427.0M",$46.0M,"$3,751.0M",6.1%,0.0%,0.3%,0.0%,2.0%
New Hampshire,2003,$74.0M,$0.3M,$4.0M,$0.0M,$78.3M,"$1,244.1M","$1,237.0M","$1,499.1M",$91.2M,"$4,071.4M",5.9%,0.0%,0.3%,0.0%,1.9%
New Hampshire,2004,$76.0M,$0.3M,$3.1M,$0.0M,$79.4M,"$1,304.7M","$1,381.3M","$1,562.0M",$68.0M,"$4,316.0M",5.8%,0.0%,0.2%,0.0%,1.8%
New Hampshire,2005,$76.0M,$0.0M,$5.0M,$0.0M,$81.0M,"$1,394.0M","$1,415.0M","$1,524.0M",$84.0M,"$4,417.0M",5.5%,0.0%,0.3%,0.0%,1.8%
New Hampshire,2006,$88.0M,$1.0M,$3.0M,$1.0M,$93.0M,"$1,346.0M","$1,415.0M","$1,620.0M",$90.0M,"$4,471.0M",6.5%,0.1%,0.2%,1.1%,2.1%
New Hampshire,2007,$92.0M,$0.0M,$3.0M,$2.0M,$97.0M,"$1,391.0M","$1,409.0M","$1,682.0M",$58.0M,"$4,540.0M",6.6%,0.0%,0.2%,3.4%,2.1%
New Hampshire,2008,$101.0M,$1.0M,$3.0M,$1.0M,$106.0M,"$1,515.0M","$1,498.0M","$1,680.0M",$114.0M,"$4,807.0M",6.7%,0.1%,0.2%,0.9%,2.2%
New Hampshire,2009,$87.0M,$17.0M,$3.0M,$3.0M,$110.0M,"$1,438.0M","$1,680.0M","$1,687.0M",$171.0M,"$4,976.0M",6.1%,1.0%,0.2%,1.8%,2.2%
New Hampshire,2010,$98.0M,$1.0M,$4.0M,$3.0M,$106.0M,"$1,380.0M","$2,074.0M","$1,876.0M",$138.0M,"$5,468.0M",7.1%,0.0%,0.2%,2.2%,1.9%
New Hampshire,2011,$98.0M,$1.0M,$4.0M,$2.0M,$105.0M,"$1,326.0M","$1,929.0M","$1,940.0M",$145.0M,"$5,340.0M",7.4%,0.1%,0.2%,1.4%,2.0%
New Hampshire,2012,$95.0M,$0.0M,$5.0M,$3.0M,$103.0M,"$1,280.0M","$1,650.0M","$1,965.0M",$81.0M,"$4,976.0M",7.4%,0.0%,0.3%,3.7%,2.1%
New Hampshire,2013,$95.0M,$0.0M,$5.0M,$2.0M,$102.0M,"$1,266.0M","$1,604.0M","$2,060.0M",$87.0M,"$5,017.0M",7.5%,0.0%,0.2%,2.3%,2.0%
New Hampshire,2014,$99.0M,$0.0M,$5.0M,$1.0M,$105.0M,"$1,251.0M","$1,701.0M","$2,131.0M",$63.0M,"$5,146.0M",7.9%,0.0%,0.2%,1.6%,2.0%
New Hampshire,2015,$104.0M,$0.0M,$5.0M,$6.0M,$115.0M,"$1,258.0M","$1,935.0M","$2,201.0M",$58.0M,"$5,452.0M",8.3%,0.0%,0.2%,10.3%,2.1%
New Hampshire,2016,$107.0M,$0.0M,$5.0M,$5.0M,$117.0M,"$1,385.0M","$2,158.0M","$2,170.0M",$62.0M,"$5,775.0M",7.7%,0.0%,0.2%,8.1%,2.0%
New Hampshire,2017,$109.0M,$0.0M,$5.0M,$28.0M,$142.0M,"$1,512.0M","$2,221.0M","$2,097.0M",$104.0M,"$5,934.0M",7.2%,0.0%,0.2%,26.9%,2.4%
New Hampshire,2018,$115.0M,$0.0M,$5.0M,$14.0M,$134.0M,"$1,504.0M","$2,297.0M","$2,257.0M",$73.0M,"$6,131.0M",7.6%,0.0%,0.2%,19.2%,2.2%
New Hampshire,2019,$125.0M,$0.0M,$6.0M,$2.0M,$133.0M,"$1,505.0M","$2,313.0M","$2,318.0M",$98.0M,"$6,234.0M",8.3%,0.0%,0.3%,2.0%,2.1%
New Jersey,1991,$616.2M,$4.6M,$0.0M,$12.8M,$633.6M,"$12,186.3M","$3,257.1M","$1,990.6M",$291.1M,"$17,725.1M",5.1%,0.1%,0.0%,4.4%,3.6%
New Jersey,1992,$567.9M,$4.2M,$0.0M,$45.9M,$618.0M,"$14,706.0M","$4,164.0M","$2,779.0M",$496.0M,"$22,145.0M",3.9%,0.1%,0.0%,9.3%,2.8%
New Jersey,1993,$604.3M,$3.5M,$0.0M,$7.2M,$615.0M,"$14,300.9M","$4,381.2M","$3,010.0M",$374.8M,"$22,066.9M",4.2%,0.1%,0.0%,1.9%,2.8%
New Jersey,1994,$637.1M,$2.3M,$0.0M,$27.3M,$666.7M,"$14,616.7M","$4,525.1M","$3,037.5M",$517.7M,"$22,697.0M",4.4%,0.1%,0.0%,5.3%,2.9%
New Jersey,1995,$692.4M,$1.6M,$34.2M,$2.6M,$730.8M,"$14,946.4M","$4,708.7M","$2,777.4M",$292.9M,"$22,725.4M",4.6%,0.0%,1.2%,0.9%,3.2%
New Jersey,1996,$703.6M,$2.9M,$12.2M,$1.5M,$720.2M,"$15,840.3M","$4,793.0M","$2,442.6M",$224.6M,"$23,300.5M",4.4%,0.1%,0.5%,0.7%,3.1%
New Jersey,1997,$873.9M,$2.4M,$13.6M,$3.4M,$893.3M,"$15,857.9M","$5,342.5M","$2,744.5M",$185.9M,"$24,130.8M",5.5%,0.0%,0.5%,1.8%,3.7%
New Jersey,1998,$911.6M,$13.5M,$13.3M,$0.0M,$938.4M,"$16,752.6M","$5,110.4M","$2,547.6M",$790.6M,"$25,201.2M",5.4%,0.3%,0.5%,0.0%,3.7%
New Jersey,1999,$948.4M,$19.2M,$0.0M,$0.5M,$968.1M,"$18,070.2M","$5,372.1M","$2,669.4M",$843.2M,"$26,954.9M",5.2%,0.4%,0.0%,0.1%,3.6%
New Jersey,2000,"$1,103.0M",$38.0M,$90.0M,$7.0M,"$1,238.0M","$19,458.2M","$5,595.8M","$3,748.0M",$868.0M,"$29,670.0M",5.7%,0.7%,2.4%,0.8%,4.2%
New Jersey,2001,"$1,146.0M",$32.0M,$89.0M,$2.0M,"$1,269.0M","$20,811.0M","$6,609.0M","$3,931.0M",$918.0M,"$32,269.0M",5.5%,0.5%,2.3%,0.2%,3.9%
New Jersey,2002,"$1,005.0M",$41.0M,$83.0M,$2.0M,"$1,131.0M","$21,997.0M","$7,139.0M","$4,568.0M","$1,271.0M","$34,975.0M",4.6%,0.6%,1.8%,0.2%,3.2%
New Jersey,2003,"$1,172.0M",$42.0M,$86.0M,$0.0M,"$1,300.0M","$23,172.0M","$7,451.0M","$4,231.0M",$899.0M,"$35,753.0M",5.1%,0.6%,2.0%,0.0%,3.6%
New Jersey,2004,"$1,189.0M",$38.0M,$90.0M,$0.0M,"$1,317.0M","$24,364.0M","$8,006.0M","$3,937.0M",$908.0M,"$37,215.0M",4.9%,0.5%,2.3%,0.0%,3.5%
New Jersey,2005,"$1,337.0M",$20.0M,$96.0M,$0.0M,"$1,453.0M","$27,844.0M","$7,985.0M","$4,456.0M","$1,218.0M","$41,503.0M",4.8%,0.3%,2.2%,0.0%,3.5%
New Jersey,2006,"$1,401.0M",$18.0M,$98.0M,$0.0M,"$1,517.0M","$28,033.0M","$8,420.0M","$4,791.0M","$1,060.0M","$42,304.0M",5.0%,0.2%,2.0%,0.0%,3.6%
New Jersey,2007,"$1,504.0M",$16.0M,$102.0M,$0.0M,"$1,622.0M","$30,284.0M","$8,751.0M","$4,991.0M","$1,366.0M","$45,392.0M",5.0%,0.2%,2.0%,0.0%,3.6%
New Jersey,2008,"$1,546.0M",$17.0M,$103.0M,$0.0M,"$1,666.0M","$33,112.0M","$8,851.0M","$5,233.0M","$1,508.0M","$48,704.0M",4.7%,0.2%,2.0%,0.0%,3.4%
New Jersey,2009,"$1,299.0M",$182.0M,$101.0M,$1.0M,"$1,583.0M","$30,825.0M","$11,384.0M","$3,437.0M","$1,641.0M","$47,287.0M",4.2%,1.6%,2.9%,0.1%,3.3%
New Jersey,2010,"$1,519.0M",$51.0M,$94.0M,$0.0M,"$1,664.0M","$28,285.0M","$13,058.0M","$5,508.0M","$1,669.0M","$48,520.0M",5.4%,0.4%,1.7%,0.0%,3.4%
New Jersey,2011,"$1,481.0M",$15.0M,$91.0M,$1.0M,"$1,588.0M","$27,932.0M","$12,044.0M","$5,550.0M","$1,616.0M","$47,142.0M",5.3%,0.1%,1.6%,0.1%,3.4%
New Jersey,2012,"$1,474.0M",$16.0M,$88.0M,$0.0M,"$1,578.0M","$30,379.0M","$10,998.0M","$5,911.0M","$1,358.0M","$48,646.0M",4.9%,0.1%,1.5%,0.0%,3.2%
New Jersey,2013,"$1,505.0M",$15.0M,$79.0M,$0.0M,"$1,599.0M","$31,195.0M","$12,041.0M","$6,194.0M","$1,374.0M","$50,804.0M",4.8%,0.1%,1.3%,0.0%,3.1%
New Jersey,2014,"$1,555.0M",$8.0M,$49.0M,$0.0M,"$1,612.0M","$31,103.0M","$13,372.0M","$7,230.0M","$1,450.0M","$53,155.0M",5.0%,0.1%,0.7%,0.0%,3.0%
New Jersey,2015,"$1,516.0M",$7.0M,$47.0M,$0.0M,"$1,570.0M","$32,261.0M","$16,079.0M","$7,100.0M","$1,588.0M","$57,028.0M",4.7%,0.0%,0.7%,0.0%,2.8%
New Jersey,2016,"$1,508.0M",$7.0M,$47.0M,$0.0M,"$1,562.0M","$33,151.0M","$14,354.0M","$7,425.0M","$1,610.0M","$56,540.0M",4.5%,0.0%,0.6%,0.0%,2.8%
New Jersey,2017,"$1,535.0M",$11.0M,$48.0M,$0.0M,"$1,594.0M","$33,827.0M","$15,172.0M","$8,116.0M","$2,166.0M","$59,281.0M",4.5%,0.1%,0.6%,0.0%,2.7%
New Jersey,2018,"$1,140.0M",$10.0M,$40.0M,$0.0M,"$1,190.0M","$35,124.0M","$15,628.0M","$7,883.0M","$2,140.0M","$60,775.0M",3.2%,0.1%,0.5%,0.0%,2.0%
New Jersey,2019,"$1,172.0M",$9.0M,$38.0M,$0.0M,"$1,219.0M","$37,349.0M","$16,695.0M","$8,717.0M","$2,050.0M","$64,811.0M",3.1%,0.1%,0.4%,0.0%,1.9%
New Mexico,1991,$87.9M,$0.7M,$11.7M,$0.2M,$100.5M,"$1,937.1M",$871.2M,"$1,048.0M",$22.4M,"$3,878.7M",4.5%,0.1%,1.1%,0.9%,2.6%
New Mexico,1992,,,,,,,,,,,,,,,
New Mexico,1993,$93.8M,$0.2M,$14.3M,$10.1M,$118.4M,"$2,170.5M","$1,199.7M","$1,133.7M",$88.1M,"$4,592.0M",4.3%,0.0%,1.3%,11.5%,2.6%
New Mexico,1994,$100.9M,$0.0M,$13.9M,$5.0M,$119.8M,"$2,488.8M","$1,426.6M","$1,327.4M",$189.9M,"$5,432.7M",4.1%,0.0%,1.0%,2.6%,2.2%
New Mexico,1995,$108.5M,$0.0M,$1.2M,$18.7M,$128.4M,"$2,649.8M","$1,486.8M","$1,335.0M",$52.3M,"$5,523.9M",4.1%,0.0%,0.1%,35.8%,2.3%
New Mexico,1996,$121.0M,$0.0M,$13.4M,$11.6M,$146.0M,"$2,763.8M","$1,854.3M","$1,485.3M",$105.6M,"$6,209.0M",4.4%,0.0%,0.9%,11.0%,2.4%
New Mexico,1997,$137.6M,$1.2M,$15.6M,$0.0M,$154.4M,"$2,894.0M","$1,974.8M","$1,560.3M",$0.0M,"$6,429.1M",4.8%,0.1%,1.0%,,2.4%
New Mexico,1998,$140.7M,$2.2M,$16.1M,$0.0M,$159.0M,"$3,073.6M","$1,715.9M","$2,122.6M",$216.2M,"$7,128.3M",4.6%,0.1%,0.8%,0.0%,2.2%
New Mexico,1999,$148.4M,$1.3M,$18.4M,,$168.1M,"$3,027.5M","$2,090.5M","$1,739.1M",$0.0M,"$6,857.1M",4.9%,0.1%,1.1%,,2.5%
New Mexico,2000,$158.9M,$2.0M,$18.1M,$6.4M,$185.4M,"$3,380.9M","$2,753.0M","$2,763.2M",$373.0M,"$9,270.1M",4.7%,0.1%,0.7%,1.7%,2.0%
New Mexico,2001,$172.0M,$1.0M,$17.0M,$0.0M,$190.0M,"$3,595.0M","$2,989.0M","$2,478.0M",$231.0M,"$9,293.0M",4.8%,0.0%,0.7%,0.0%,2.0%
New Mexico,2002,$216.2M,$1.8M,$18.1M,$0.0M,$236.1M,"$3,908.7M","$3,242.4M","$2,882.4M",$585.1M,"$10,618.6M",5.5%,0.1%,0.6%,0.0%,2.2%
New Mexico,2003,$194.0M,$4.0M,$17.0M,$0.0M,$215.0M,"$3,851.0M","$3,282.0M","$1,711.0M",$440.0M,"$9,284.0M",5.0%,0.1%,1.0%,0.0%,2.3%
New Mexico,2004,$201.0M,$2.0M,$19.0M,$0.0M,$222.0M,"$4,117.0M","$3,545.0M","$1,961.0M",$349.0M,"$9,972.0M",4.9%,0.1%,1.0%,0.0%,2.2%
New Mexico,2005,$209.1M,$0.9M,$24.2M,$0.0M,$234.1M,"$4,948.6M","$3,083.0M","$2,851.0M",$239.0M,"$11,121.7M",4.2%,0.0%,0.8%,0.0%,2.1%
